Preferred_Contact_Method,Product_Category_Preferences
Phone,"else, social, stuff"
SMS,"general, worker"
Email,less
SMS,"nothing, collection"
Email,"perhaps, media, resource"
Email,"physical, focus, there, visit, happy"
Phone,"nature, become, arm"
Email,"pull, home, field"
Email,"material, surface, if"
SMS,"many, shake"
Email,"under, land, fight, response"
SMS,"spring, television, reveal, happy"
SMS,thing
Email,state
Phone,"cold, just"
Email,"girl, price, movement"
Email,"friend, short, poor"
SMS,"here, we, again, middle"
SMS,"mean, page, stage, black, feel"
SMS,"sell, point, bit, series, resource"
SMS,"serious, if, fire"
SMS,"walk, brother, machine, red, recognize"
Phone,"beautiful, car, decade"
SMS,"structure, central, benefit, tonight, garden"
SMS,"local, rise"
Email,"yet, agreement, debate"
Phone,"book, whom"
Email,"relationship, memory"
SMS,"spring, campaign, nation, environment"
SMS,"minute, especially, time, blue"
Email,"above, option, over"
Email,"set, herself, decision"
Email,skin
Email,"walk, affect, example, according, process"
SMS,"tend, foreign, near, that"
Email,"dinner, kind"
Phone,"garden, into"
Email,"culture, possible, head, research"
Email,"natural, get, thing, season, score"
Email,police
Phone,"expert, interview, down"
Email,weight
Phone,"recently, benefit"
Email,"factor, manager"
Phone,"water, board, study"
SMS,"back, different"
Email,guy
Email,"them, summer, for, long, other"
SMS,"behavior, part, cut"
SMS,"subject, form, word, build, life"
Phone,"population, action, stop, fall, worry"
SMS,"call, use"
Phone,place
Phone,"student, prevent, agree, apply, behavior"
Email,"buy, close, every, part"
Email,"member, attorney"
SMS,"might, indicate, heart"
Email,kitchen
SMS,section
Phone,"perhaps, respond"
SMS,"director, each, building, take"
Phone,decade
Phone,"learn, ability, expect, partner"
SMS,fall
SMS,"certainly, difference, let, receive"
Phone,worker
Email,"just, fact, clearly"
Phone,class
SMS,"share, effect, them"
Phone,"moment, require, east, foot"
Email,"it, shoulder"
SMS,anyone
SMS,beyond
Email,score
SMS,natural
SMS,"for, political, maybe, important"
Email,radio
SMS,even
SMS,"writer, among"
SMS,ago
Email,"believe, stand"
SMS,"resource, make, throw"
Phone,"second, piece"
Phone,"sell, head"
SMS,part
SMS,guy
Phone,"level, be, international, ask, laugh"
Email,"any, look, themselves, economic, important"
Phone,travel
Phone,although
SMS,"decade, money, apply, green"
Phone,"four, music, first, bit"
Phone,"staff, safe, style, action"
SMS,"quickly, machine, issue, team, play"
SMS,"modern, marriage, conference, build, morning"
SMS,"official, perform, establish"
Email,"write, cause, seek, human"
SMS,"couple, be, certainly, buy"
SMS,describe
SMS,main
SMS,even
Phone,"area, pull"
Phone,"subject, community, common, ok, information"
Email,clear
Email,"city, reduce, book, although, fight"
Phone,"true, gun, people, meeting"
Email,seek
Phone,"instead, successful, because"
Email,"view, hit, generation, long"
SMS,region
SMS,list
SMS,"consider, goal"
Email,"value, meeting"
SMS,"travel, into"
SMS,"option, important, hotel, mean, positive"
SMS,"person, behavior, lay, star, put"
SMS,"population, expect, across, while, what"
Phone,"professor, cut"
Email,how
Phone,"case, animal"
Phone,"meet, night"
SMS,"recent, mission, ahead"
SMS,catch
Email,"ground, third"
Phone,"memory, culture"
Email,"rock, discussion, little, us"
Email,"current, bad, last"
Email,"man, start"
SMS,"mouth, lawyer, officer, represent"
Phone,"animal, director, small"
Phone,"raise, imagine, specific"
SMS,"mother, want, buy, quite"
Phone,"respond, course, role"
Phone,"possible, consider, hundred, other"
SMS,"site, much, yes, sit"
SMS,"though, beautiful, tough"
Email,"program, sell"
SMS,"low, know, hold, animal"
Email,either
SMS,Mrs
Phone,"owner, customer, wide"
SMS,"information, late, born, guess, sell"
Phone,"available, artist, probably"
Email,"movie, plant, yard"
Email,friend
Email,"impact, none, policy, agreement"
Email,"natural, hot, common, scene, music"
Email,"religious, but, concern, similar, key"
Phone,writer
SMS,"front, money, protect, to"
SMS,"scene, production"
Phone,"off, arrive, nice"
SMS,season
Email,"purpose, boy, production, never"
Email,"certainly, nothing, two, go, benefit"
Phone,"response, heavy, side"
Phone,"those, size, thought"
Phone,"natural, next, tree, key"
Phone,"conference, we, bill, seek, drop"
Email,"Mr, threat, west"
SMS,"onto, face"
SMS,"position, move"
Phone,"often, year, plan"
SMS,"media, indicate"
SMS,next
Email,"sometimes, with, they, nice, blue"
Email,"quality, serious, down"
SMS,"none, head, wind"
Phone,huge
Email,"either, imagine"
Phone,"southern, performance, air"
Phone,"specific, well, may"
Phone,"when, support, drug, crime"
Email,"budget, finally, knowledge"
SMS,"them, loss, could, management, professor"
Phone,"indicate, add, ground, check, control"
SMS,"source, onto, specific, process"
Email,"leader, relationship, each, gun, skill"
SMS,"more, force, trade, shake"
Email,"ever, land"
Phone,"feel, quickly"
SMS,"much, cost"
Email,"gun, agreement, leader"
Email,yet
Email,part
Email,need
Phone,"bit, player, year, rate, star"
Email,"threat, church"
SMS,"television, owner"
Phone,"production, staff, camera"
SMS,"hit, million, center, might"
Email,"game, community, account, reality"
SMS,"become, serious, positive"
Email,"build, leave, in, ever"
Email,"tonight, play, yes, few"
SMS,"spring, art, why"
SMS,"design, operation, race, record, hold"
Phone,"hot, build"
SMS,"type, wall, camera"
SMS,"week, current, page, officer"
Email,"employee, his"
Email,"arm, anyone"
Phone,"letter, discussion"
Phone,"recent, modern, join"
Email,"shoulder, travel"
Phone,"Democrat, call, size, challenge"
Email,"girl, large, family"
SMS,state
Email,"still, drug, too, hot"
Email,"model, mention"
SMS,"police, police, even, two"
Phone,"picture, already, speech, raise, sit"
Phone,"well, indeed, sister, majority"
Email,"group, indeed, yeah, report"
Email,"low, food, back, teacher"
Phone,"her, his"
Email,growth
SMS,"always, official, thank, instead"
SMS,"central, body, traditional, around, study"
Phone,"design, know"
Phone,"name, include, poor, local"
SMS,want
Email,"hit, spend, late, interview, too"
Phone,"take, line, early"
Phone,"create, minute, she, war, medical"
Email,"man, address, father, order"
Phone,"everything, market, fall"
SMS,"mean, girl"
Phone,"special, war, drug, product"
Email,"minute, piece, Mrs, southern"
Email,"note, event, tax, property, protect"
SMS,"out, through, create, travel, environmental"
Phone,"boy, through"
Phone,central
SMS,"prevent, either, north, none"
Email,"store, role, rock, both, bring"
Email,energy
Email,"garden, term, now, practice"
SMS,"whom, simple"
SMS,"age, purpose, story, see"
Phone,"already, serious, teacher, down, store"
SMS,"population, music, its"
SMS,"letter, test, democratic"
SMS,"strong, hour, foot"
Email,"determine, money, rich, meeting, chair"
Phone,"trial, stage, full, whose"
Phone,"return, million, service, artist"
SMS,"conference, station"
SMS,"design, analysis"
Email,"manager, area"
Phone,"finish, police, none, necessary"
Email,one
Email,little
Phone,"focus, case"
Phone,"organization, area, born, sing"
SMS,"create, industry"
Email,"available, dream, sister, memory, soldier"
Email,day
Phone,"development, particularly, write"
Phone,"hold, middle, have, dinner, prove"
Email,chair
Phone,"television, southern, indeed"
SMS,"song, conference, south, today"
Phone,"into, hair, course, general"
SMS,"chance, star"
SMS,"prevent, size, hospital"
Phone,"could, itself, have, claim, card"
SMS,"season, whether"
SMS,"population, out"
SMS,"goal, left"
Phone,"realize, name, catch"
Email,describe
Email,"particularly, fly, value"
Phone,"trouble, may, worry"
Phone,"develop, charge, whose, series"
SMS,"chair, that, anyone"
SMS,"experience, prevent"
SMS,"population, take, test"
Phone,"art, network, record, success"
Phone,choice
Email,"writer, view, then"
SMS,window
Phone,"professional, prevent, respond, gas, break"
Email,"expert, city, police, so"
SMS,table
SMS,"less, bring, dinner, quite"
SMS,cup
SMS,"wear, century"
SMS,"school, experience"
Email,"mission, wall, join, national"
SMS,"have, either"
Phone,"seek, realize, foot"
Email,"just, pressure"
Phone,"difference, above"
SMS,its
Phone,interesting
Phone,"some, degree, fire, image, all"
SMS,"decide, dark, upon"
SMS,"heart, accept"
Phone,"term, defense, environment"
Phone,"want, left, feel"
Phone,pressure
Phone,"girl, write, write"
Phone,"agreement, really, arm, every, tend"
Phone,"citizen, ability, data, if, significant"
Phone,owner
Phone,"peace, head, time, start, director"
Email,surface
Email,manager
SMS,"like, into"
Phone,rest
Phone,"air, free"
Phone,"on, mind"
SMS,"whose, almost, matter, light"
Phone,"southern, at, single"
Phone,"partner, two, mouth"
Phone,"issue, make, movie, skin"
Phone,"tonight, relate, fund, concern"
SMS,"sister, success, organization"
SMS,"and, car"
SMS,"part, often, first"
SMS,dream
SMS,"former, minute, effect, suddenly, piece"
Email,"once, enjoy, whose, various, personal"
Phone,"audience, order, up, person"
Email,"himself, and, including, international, southern"
SMS,"after, stop, board, treat"
Email,expert
Phone,"American, worry, quickly, together"
Phone,"dog, onto, lay, yard"
Phone,"detail, friend, fire, chance, often"
Email,"travel, some, finally"
Phone,"effort, Republican"
Phone,"fly, gun, bit"
SMS,argue
SMS,"right, seven, month, training, better"
Email,must
SMS,"law, item, trouble, drop, prepare"
SMS,"call, away"
Email,"national, professor, economic, see"
Phone,"science, difficult, little"
Phone,"where, dog, real, southern, policy"
Phone,"attorney, purpose, current, market"
Email,"instead, stage, blue, week, over"
Phone,interest
Email,"group, attorney, particular"
Email,"bar, soldier, charge, clear, condition"
Phone,rich
Email,"social, other, environmental, bank"
SMS,as
SMS,"when, size, them, indeed"
SMS,"investment, with, police"
Email,"chair, list, know, language, since"
Phone,"might, myself, operation, who, culture"
SMS,"then, memory, bring"
Email,"energy, age, trade"
SMS,"best, discussion"
SMS,"drop, moment, call"
Phone,"throw, author, table, sense, including"
Email,"condition, buy, whatever, would"
Email,"election, agree, business, his"
Phone,"mother, system"
Email,"available, make, Republican, region, ask"
Email,bill
Email,"somebody, fast"
Email,"middle, risk, carry, campaign, door"
SMS,present
Phone,nature
Email,"long, song, let, Mrs"
Phone,"century, among, pay, either, impact"
SMS,"never, issue, four, dark"
Email,beyond
SMS,"create, up, situation, her"
Phone,"by, face, chance"
Phone,"special, establish, remember"
Phone,"political, school, recent, local"
Phone,today
Phone,"realize, single, pattern, phone, current"
SMS,finish
Email,"moment, inside, employee"
SMS,"town, cut"
Phone,"whatever, former, film, accept, body"
SMS,"myself, necessary, smile"
Phone,"effort, take, down, affect"
Phone,how
Phone,"check, us, break, person"
Email,"hope, body, guess, must, bank"
Email,"environment, believe"
Email,"series, more, wear"
Phone,"air, open"
SMS,"position, according, find"
Phone,"many, song, within, produce"
SMS,"assume, produce"
Phone,"drug, benefit, down, production"
SMS,"take, decide, team, tree"
Phone,total
Phone,"across, across, finish, seven, necessary"
Phone,"method, for"
Phone,support
SMS,radio
SMS,"leave, sound, offer, but, tree"
Phone,"contain, trade, home"
SMS,"my, recent, better"
Email,"industry, truth"
SMS,worker
SMS,"market, child, west"
Phone,"tell, sing, type"
Email,"out, almost"
Phone,among
Phone,"than, expect, quality, paper, successful"
Email,"listen, such, small, grow, data"
SMS,pass
Phone,"production, seek, situation"
Phone,"set, special, term"
SMS,"approach, move, way, watch, believe"
Phone,"score, hold, step, next"
SMS,"possible, watch, tend, close, start"
Phone,"pressure, thank, around, threat, cold"
SMS,nearly
Phone,"various, like"
SMS,"middle, hit, while, on, south"
SMS,"remain, here, a, fly"
Email,"us, anything"
Email,"star, record"
SMS,"production, here, about, treatment, former"
Email,"enjoy, travel, president, charge"
Email,"push, situation, operation"
Email,"bill, training, drive, despite"
Phone,"test, task, democratic"
Email,carry
Phone,"remember, home"
Email,"notice, listen, hear, sport"
Phone,"skin, development, community, bill, particularly"
Phone,"talk, thousand, rest, forward"
SMS,little
SMS,"the, need, industry, send, yeah"
SMS,sense
SMS,"since, energy, up"
Phone,"while, to, likely"
Email,"child, another, something"
SMS,"note, bad, attack, business, administration"
SMS,"even, number"
Email,foot
Email,"husband, little, across, everybody"
Phone,"weight, event, age, PM"
Phone,"present, little, ask, reveal, director"
Email,"quickly, class, stuff, wide"
Email,method
Email,low
Email,"game, position, guess, hundred"
SMS,"level, environmental, almost"
SMS,"however, quickly"
SMS,"almost, finally"
Email,"all, contain, school"
Phone,"science, heavy, between, Republican"
Email,"his, off, feeling, music, peace"
SMS,let
Phone,"husband, thus, reflect, chance"
Email,"choice, buy, treat"
Phone,appear
Phone,a
SMS,"community, hand, red, knowledge"
Email,"pattern, involve"
Email,"her, buy, turn"
SMS,"contain, assume, seat, food"
Phone,"ability, agreement, high, they"
Phone,"parent, we, what, tonight, all"
Email,against
Email,"begin, land, network, surface"
SMS,"give, control, need"
Phone,"beat, single, forward, share, prevent"
SMS,daughter
Phone,successful
Phone,"player, manager, own, woman, create"
Phone,"response, industry, career"
SMS,"officer, win, discussion, service"
Email,"civil, add, too, north, provide"
Phone,"nation, population, even, why"
SMS,"federal, these, show, learn, father"
Phone,election
Email,century
Email,"their, kind"
Phone,"worry, page, spring, use"
SMS,"thought, wall"
SMS,on
Phone,"me, drop"
Phone,PM
Email,consumer
Phone,sign
SMS,"majority, every"
Phone,"news, population, feel, claim"
Email,"five, own"
SMS,"management, science"
SMS,"entire, catch, quite, last, two"
Email,"investment, apply, eat, film"
Email,"add, without"
Phone,"American, toward"
Phone,pass
Phone,"not, cold, product"
SMS,"leave, add"
Email,same
Email,"just, hand, debate, many, movement"
SMS,"exist, ever, pattern, provide"
Email,"forward, away, body, describe"
SMS,commercial
Phone,"black, commercial, everything"
Phone,"bed, perform, physical, community, small"
SMS,"magazine, edge"
Email,"give, article, current, thus, yes"
Phone,"listen, exactly, try, police, shoulder"
Email,"realize, turn, book, structure"
SMS,"reality, officer, tell, view"
Phone,"weight, meeting, goal"
Email,"kitchen, perform, fish, performance"
SMS,"control, doctor, high, machine"
Email,"training, power"
Email,"test, learn, bit, will, window"
SMS,"although, moment, there, note, center"
SMS,although
Phone,price
Email,"measure, play, computer, campaign, still"
SMS,eat
SMS,rest
Phone,"piece, choose, real"
Email,"personal, painting, door, once, PM"
Email,"tell, miss, particular"
Phone,"seek, difficult, find"
SMS,"material, should, letter"
Phone,"white, defense, factor, church"
Phone,"she, born, between, smile, decision"
Email,"fly, here, marriage"
Email,"the, lead"
